Phases:
0,Not indexed,0
2,Iron,60696
1,Iron,310619
Map Size:
X,256
Y,192
Data:
K,Cluster Size,Phase,Euler1,Euler2,Euler3,Index Quality,Pattern Quality,IPF x-coordinate,IPF y-coordinate,Kernel Average Misorientation,GND Density,Channelling Fraction
0,1578,0,0.0,0.0,0.0,5.383460076045626,40.564404309252275,0,0,0.33513508705532774,11.953842794064945,1.3074019135705568
1,203,1,30.172436586138875,145.58049417470454,34.24608991976265,89.79285714285714,47.969802955665,0.17430474115824196,0.2560383587312085,0.8855466462078674,11.968671306202546,31.789239747411013
2,80,1,83.41009779337308,156.56006828914656,19.38896423548076,87.12837500000003,50.92300000000001,0.0688702941560127,0.19568809644531457,1.2885919946313134,12.167700528934116,0.0
3,5930,1,40.348146784197986,166.7424589550389,25.32162749531047,85.93162900505901,52.71425801011798,0.049704126823355094,0.1050472462941925,0.6117707677229183,11.921149208139044,0.0
4,1416,1,76.33467905480288,139.04071795490026,10.424758812521379,88.65824152542368,53.48795197740115,0.0675789731241153,0.3673148396468354,0.7979519374558598,12.05305646607682,32.40572405245072
5,5494,1,172.46853093284463,141.48256227862703,39.96766292455891,85.11067710229335,52.3603330906444,0.22443013980062176,0.2677721979817024,0.6725330722047458,11.874644995342518,27.008288869758584
6,5516,1,126.57453623424219,133.96434069360583,39.77069859476538,80.59448332124725,48.561383248731126,0.27177860373749035,0.32653823287379147,0.25181956045843806,11.61940183657778,0.0
7,78,1,74.79441330592424,161.19131190804734,13.406524030693147,85.15897435897438,44.81038461538462,0.0384020146101714,0.16111340681450545,5.059658460014075,12.984471370552674,0.0
8,817,1,16.415568952743136,147.60361179021012,39.184301532101486,87.55801713586294,48.28222766217865,0.18353819828454418,0.22516599578727778,1.2997663662703445,11.978469373939324,30.57212391233376
9,48,2,102.33687151264719,138.9753373710382,44.58923641778384,87.460625,44.286458333333336,0.2626464780001883,0.2664396551001791,3.4588810333912563,12.289972980017197,34.956924083376904
10,1249,1,165.28948798855254,145.02169519294256,3.2295970052835314,88.14850280224191,52.10167333867095,0.01775134320692375,0.3145902250861303,0.8085425690404822,12.143819784495122,0.009145462889276037
11,549,1,20.202397505262258,133.47767160948226,38.84935084003936,85.55349726775954,48.14644808743177,0.2696433426980222,0.33477778589770296,0.5464586431023016,11.753898348030686,0.0
12,226,1,39.156821456244536,159.89726331355456,29.087960418593116,87.73446902654867,51.530707964601795,0.08617115293713033,0.15489559020980267,5.16823501338096,13.36492429010544,0.0
13,869,1,121.42060632332415,128.77033678480677,37.977431391084956,88.52677790563868,50.47680092059838,0.2950226956662856,0.3779185722130475,1.2510081182100288,12.65963201127284,0.0
14,16644,1,90.18108733336096,141.6765720317731,33.535624810825446,91.43705960105736,52.56506729151612,0.19197148092837227,0.2896458162828391,0.4634558219171377,11.814377758771764,10.543963958473208
15,857,1,116.31845325242918,135.7250306027628,14.54632121790538,88.96309218203034,48.27525087514582,0.10217803033612916,0.39377953694045625,1.1480022585946277,12.244163907257418,0.0
16,2275,1,118.16184205205431,169.03697754289752,40.3657749095966,84.15742857142841,50.737890109890145,0.06215210948645603,0.07311692635838093,0.6173590688390689,11.890929285826234,0.0
17,1090,1,171.53649602536848,170.81506325349153,42.0448417690916,85.56206422018347,50.56119266055044,0.05379514548063992,0.05965161021169754,0.709639327145096,12.041687992042574,0.0
18,1165,1,69.81437700826724,146.4258221090356,31.926036225405408,91.24169957081537,48.81747639484978,0.15953138036789544,0.25603846507761835,1.0890681255782475,11.93348654419569,15.169613664791775
19,2663,1,14.125425494122783,157.34263195084904,9.875298594305288,92.59184003004133,50.63820878708218,0.034359254942590504,0.19737201757454445,1.2577395828543296,12.47443594513495,0.0
20,405,1,76.40479633225796,136.43454511595738,32.901448113896365,85.77822222222224,47.31264197530863,0.21707284034909352,0.33552492876043916,0.5901016799671503,11.680272047914514,0.0
Orientation Relationships:
Variant,K1,K2,Misorientation,Projection
twin-223,1,15,9.571869698457865,0.9860777960791582
twin-012,6,15,9.61854534279763,0.9859420061650805
twin-233,2,18,9.641358571361001,0.9858753993074161
twin-223,12,14,9.66161339624235,0.9858161311291345
twin-012,10,12,9.666020075734329,0.9858032203101512
twin-011,13,20,9.690467933303484,0.9857314863431792
twin-233,3,5,9.750089677302539,0.9855557939970909
twin-133,7,19,9.827613097652584,0.9853257533725248
twin-012,3,16,9.84228625866477,0.9852820096488601
twin-123,15,18,9.845825887209006,0.9852714476106661
twin-012,5,14,9.918225535490226,0.985054586425949
twin-113,1,18,9.940013895537321,0.9849890150806195
twin-012,8,19,10.002793819280091,0.9847992845227134
twin-012,8,18,10.026716700743684,0.9847266747798986
twin-023,8,15,10.043342041010932,0.9846761131249191
twin-223,5,11,10.051841437301675,0.9846502323916739
twin-012,4,20,10.09352558475768,0.9845229901048933
twin-112,12,14,10.258161801482784,0.984015339549259
twin-111,13,19,10.266079777619417,0.98399071991718
twin-133,14,20,10.272719831300618,0.9839700592853848
twin-023,3,17,10.319049919337397,0.9838255347100575
twin-112,1,18,10.3736484564435,0.9836543913658029
twin-113,8,16,10.420028910830617,0.9835083065617463
twin-123,4,18,10.444647649384738,0.9834305029310126
twin-133,5,13,10.511647523075714,0.9832178410196823
twin-223,4,10,10.619656742526388,0.9828721822178239
twin-122,7,12,10.621101395345049,0.9828675352631802
twin-122,8,11,10.640587870111052,0.9828047928729466
twin-123,2,20,10.678334854104602,0.9826829320643773
twin-012,14,20,10.80195793943862,0.9822808468690989
twin-123,5,15,10.873452970441852,0.9820462214636523
twin-122,5,17,10.953805972785133,0.9817807018305518
twin-223,1,3,11.04421536633574,0.9814796431577015
twin-123,6,7,11.06906431867028,0.9813964692403543
twin-023,18,20,11.104339571383596,0.9812780796007288
twin-133,5,6,11.239926309913606,0.9808195658408683
ksor-06,8,9,11.240505961185754,0.9808175938409596
twin-111,6,19,11.246986920355232,0.9807955384881895
twin-012,5,18,11.2746893310735,0.980701122954444
twin-112,11,13,11.288757819110787,0.9806530868645795
twin-012,8,14,11.314107658065037,0.9805663819657147
twin-012,8,20,11.359524222914217,0.9804105621847408
twin-233,8,11,11.397907083303194,0.9802783940518467
twin-223,11,17,11.407619847769812,0.980244879220149
twin-113,11,18,11.467243616029611,0.9800385244652166
twin-223,2,15,11.477694009562713,0.9800022468818019
twin-113,8,17,11.508239533133823,0.9798960239873289
twin-123,11,13,11.540597988790296,0.9797831927845377
twin-123,3,12,11.55385279799049,0.9797368841585021
twin-113,3,7,11.581854269385989,0.9796388824017375
twin-013,16,17,11.595163169837999,0.9795922208277954
twin-113,16,19,11.62397147443866,0.9794910366550096
twin-112,8,12,11.676034915391474,0.979307544729421
twin-113,12,18,11.767339017505249,0.9789838009883574
twin-012,1,8,11.769034246258297,0.9789777665796167
twin-011,5,11,11.829962201505065,0.9787603159488065
twin-123,1,20,11.830824379406318,0.9787572309110977
twin-013,8,14,11.896990010404872,0.9785198165293796
twin-112,8,11,11.903298354308657,0.9784971128946653
twin-223,8,11,11.917999878216712,0.9784441562989077
twin-112,3,11,11.969354806066034,0.9782586643669322
twin-233,13,18,11.984296625320429,0.9782045475148353
twin-013,1,12,12.018329856302065,0.978081036331987
twin-122,15,18,12.143956255287284,0.9776221335700894
twin-122,5,6,12.150764141758277,0.9775971306602633
twin-123,5,13,12.180394955524271,0.9774881466157437
twin-133,2,16,12.20987105304489,0.9773794722427307
twin-123,11,12,12.26801953361459,0.9771643282161622
twin-123,8,17,12.293125658312174,0.9770711267664978
twin-012,10,16,12.317683436972736,0.9769797794395669
twin-122,1,7,12.321885616322325,0.9769641306505898
twin-223,1,8,12.34477742950797,0.9768787899414875
twin-113,11,17,12.429618752108595,0.9765611415412709
twin-023,8,18,12.501389624963407,0.9762907574079069
twin-023,11,18,12.531062964715296,0.9761785206902185
twin-122,7,10,12.622848158123384,0.9758296941457547
twin-013,6,15,12.643877792427897,0.9757494190828631
twin-123,3,17,12.699117185387662,0.9755379312251378
twin-113,17,19,12.700451757433758,0.9755328105041381
twin-122,1,13,12.82711209750888,0.9750444094117459
twin-023,11,20,12.841801694583792,0.9749874580589424
twin-011,6,20,12.862611448636093,0.9749066692468906
twin-123,2,14,12.895468509313375,0.9747788478675523
twin-123,10,15,13.034166221520401,0.9742357503041954
twin-111,4,15,13.11316070825365,0.9739238803035599
twin-112,12,18,13.133388016274585,0.9738437252164525
twin-123,1,2,13.168911438651973,0.9737026622197975
twin-012,3,15,13.20051942086582,0.9735768326945207
twin-223,2,18,13.201339784300766,0.973573562930776
